seq,time_ms,state,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,altitude_m,batt_mv,gps_fix,lat_deg,lon_deg,crc16
203,20300,ASCENT,-0.006,0.012,1.326,1.116,-0.267,-0.756,990.39,192.07,8319,1,34.000304,-81.000244,C75D
204,20400,ASCENT,-0.017,0.012,1.333,1.168,-0.335,-0.772,990.03,195.10,8319,1,34.000306,-81.000245,B759
205,20500,ASCENT,-0.012,0.011,1.337,1.154,-0.384,-0.718,989.68,198.13,8318,1,34.000307,-81.000246,DF7A
206,20600,ASCENT,-0.009,0.012,1.328,1.208,-0.430,-0.741,989.32,201.18,8318,1,34.000309,-81.000247,0E21
207,20700,ASCENT,-0.019,0.019,1.333,1.209,-0.409,-0.732,988.96,204.23,8318,1,34.000310,-81.000248,5F46
208,20800,ASCENT,-0.014,0.014,1.346,1.307,-0.515,-0.698,988.60,207.29,8317,1,34.000312,-81.000250,B5A2
209,20900,ASCENT,-0.021,0.019,1.312,1.289,-0.545,-0.676,988.24,210.35,8317,1,34.000313,-81.000251,A22A
210,21000,ASCENT,-0.023,0.024,1.317,1.287,-0.548,-0.694,987.88,213.42,8316,1,34.000315,-81.000252,97C9
211,21100,ASCENT,-0.024,0.009,1.330,1.363,-0.560,-0.712,987.51,216.50,8316,1,34.000316,-81.000253,20AF
212,21200,ASCENT,-0.022,0.012,1.314,1.411,-0.612,-0.680,987.15,219.59,8316,1,34.000318,-81.000254,BBB1
213,21300,ASCENT,-0.023,0.009,1.333,1.361,-0.717,-0.632,986.79,222.68,8315,1,34.000320,-81.000256,FCD6
214,21400,ASCENT,-0.029,0.012,1.290,1.361,-0.688,-0.645,986.42,225.77,8315,1,34.000321,-81.000257,6955
215,21500,ASCENT,-0.015,0.018,1.285,1.447,-0.741,-0.612,986.06,228.87,8314,1,34.000323,-81.000258,8299
216,21600,ASCENT,-0.010,0.017,1.316,1.447,-0.825,-0.574,985.70,231.97,8314,1,34.000324,-81.000259,4622
217,21700,ASCENT,-0.021,0.011,1.322,1.432,-0.839,-0.603,985.33,235.07,8314,1,34.000326,-81.000260,9861
218,21800,ASCENT,-0.013,0.007,1.318,1.510,-0.852,-0.627,984.97,238.18,8313,1,34.000327,-81.000262,B740
219,21900,ASCENT,-0.024,0.019,1.297,1.454,-0.880,-0.608,984.60,241.29,8313,1,34.000329,-81.000263,7EFD
220,22000,ASCENT,-0.018,0.012,1.278,1.448,-0.909,-0.520,984.24,244.41,8312,1,34.000330,-81.000264,E288
221,22100,ASCENT,-0.017,0.022,1.268,1.528,-0.890,-0.572,983.87,247.52,8312,1,34.000332,-81.000265,1A0D
222,22200,ASCENT,-0.025,0.009,1.288,1.524,-0.914,-0.583,983.50,250.64,8312,1,34.000333,-81.000266,DCF9
223,22300,ASCENT,-0.017,0.007,1.275,1.502,-0.984,-0.568,983.14,253.76,8311,1,34.000335,-81.000268,8117
224,22400,ASCENT,-0.009,0.006,1.276,1.462,-1.032,-0.549,982.77,256.88,8311,1,34.000336,-81.000269,271C
225,22500,ASCENT,-0.006,0.005,1.253,1.529,-1.035,-0.483,982.41,260.00,8310,1,34.000338,-81.000270,01BF
226,22600,ASCENT,-0.012,0.014,1.236,1.506,-1.057,-0.492,982.04,263.12,8310,1,34.000339,-81.000271,7F24
227,22700,ASCENT,-0.012,0.003,1.256,1.448,-1.034,-0.493,981.68,266.24,8310,1,34.000341,-81.000272,7FF9
228,22800,ASCENT,-0.019,0.014,1.229,1.538,-1.099,-0.464,981.31,269.36,8309,1,34.000342,-81.000274,DE6A
229,22900,ASCENT,-0.003,-0.003,1.252,1.528,-1.097,-0.413,980.95,272.48,8309,1,34.000343,-81.000275,58E4
230,23000,ASCENT,-0.010,0.012,1.227,1.430,-1.083,-0.410,980.58,275.59,8308,1,34.000345,-81.000276,19DE
231,23100,ASCENT,-0.011,0.000,1.218,1.481,-1.091,-0.364,980.22,278.71,8308,1,34.000346,-81.000277,FCB2
232,23200,ASCENT,-0.010,-0.006,1.229,1.470,-1.047,-0.348,979.85,281.82,8308,1,34.000348,-81.000278,2B61
233,23300,ASCENT,-0.013,-0.006,1.210,1.451,-1.064,-0.325,979.49,284.93,8307,1,34.000349,-81.000280,39F2
234,23400,ASCENT,-0.005,-0.005,1.191,1.384,-1.120,-0.337,979.13,288.03,8307,1,34.000351,-81.000281,7FBC
235,23500,ASCENT,0.007,0.010,1.202,1.430,-1.062,-0.286,978.77,291.13,8306,1,34.000352,-81.000282,3D13
236,23600,ASCENT,-0.006,-0.001,1.204,1.352,-1.098,-0.341,978.40,294.23,8306,1,34.000354,-81.000283,5F97
237,23700,ASCENT,-0.006,-0.010,1.179,1.351,-1.073,-0.233,978.04,297.32,8306,1,34.000355,-81.000284,1558
238,23800,ASCENT,0.008,-0.012,1.202,1.319,-1.105,-0.231,977.68,300.41,8305,1,34.000357,-81.000286,8800
239,23900,ASCENT,-0.002,0.000,1.196,1.290,-1.119,-0.222,977.32,303.50,8305,1,34.000358,-81.000287,C3F5
240,24000,ASCENT,0.001,-0.000,1.208,1.307,-1.033,-0.177,976.96,306.58,8304,1,34.000360,-81.000288,9DA8
241,24100,ASCENT,0.017,-0.009,1.187,1.229,-1.066,-0.233,976.61,309.65,8304,1,34.000361,-81.000289,0546
242,24200,ASCENT,0.014,-0.014,1.164,1.193,-1.047,-0.235,976.25,312.71,8304,1,34.000363,-81.000290,D3EE
243,24300,ASCENT,0.018,0.001,1.192,1.182,-1.024,-0.122,975.89,315.77,8303,1,34.000365,-81.000292,D275
244,24400,ASCENT,0.006,-0.004,1.193,1.167,-1.085,-0.127,975.54,318.82,8303,1,34.000366,-81.000293,3CED
245,24500,ASCENT,0.019,-0.004,1.171,1.097,-1.008,-0.168,975.18,321.87,8302,1,34.000368,-81.000294,6A20
246,24600,ASCENT,0.012,-0.002,1.179,1.124,-1.034,-0.132,974.83,324.90,8302,1,34.000369,-81.000295,ED02
247,24700,ASCENT,0.019,-0.008,1.159,1.022,-1.012,-0.118,974.48,327.93,8302,1,34.000371,-81.000296,5A54
248,24800,ASCENT,0.011,-0.010,1.201,1.036,-0.965,-0.049,974.12,330.95,8301,1,34.000372,-81.000298,B858
249,24900,ASCENT,0.009,-0.004,1.163,0.953,-0.953,-0.067,973.77,333.96,8301,1,34.000374,-81.000299,7298
250,25000,ASCENT,0.017,-0.011,1.201,0.891,-0.906,-0.027,973.43,336.96,8300,1,34.000375,-81.000300,278D
251,25100,ASCENT,0.013,-0.019,1.197,0.856,-0.948,-0.049,973.08,339.95,8300,1,34.000377,-81.000301,8BA5
252,25200,ASCENT,0.022,-0.012,1.187,0.820,-0.914,0.026,972.73,342.93,8300,1,34.000378,-81.000302,9B4B
253,25300,ASCENT,0.026,-0.006,1.178,0.849,-0.834,-0.016,972.39,345.90,8299,1,34.000380,-81.000304,8373
254,25400,ASCENT,0.026,-0.008,1.174,0.741,-0.812,0.094,972.04,348.86,8299,1,34.000381,-81.000305,B519
255,25500,ASCENT,0.018,-0.016,1.168,0.748,-0.798,0.116,971.70,351.80,8298,1,34.000383,-81.000306,CF7F
256,25600,ASCENT,0.026,-0.020,1.176,0.675,-0.783,0.053,971.36,354.74,8298,1,34.000384,-81.000307,CE3E
257,25700,ASCENT,0.021,-0.016,1.182,0.617,-0.701,0.065,971.02,357.66,8298,1,34.000386,-81.000308,80F9
258,25800,ASCENT,0.027,-0.016,1.198,0.552,-0.682,0.103,970.68,360.57,8297,1,34.000387,-81.000310,AF93
259,25900,ASCENT,0.015,-0.015,1.221,0.522,-0.627,0.164,970.35,363.46,8297,1,34.000388,-81.000311,7C0E
260,26000,ASCENT,0.014,-0.018,1.222,0.474,-0.638,0.161,970.01,366.35,8296,1,34.000390,-81.000312,D234
261,26100,ASCENT,0.010,-0.021,1.201,0.425,-0.542,0.234,969.68,369.21,8296,1,34.000391,-81.000313,A738
262,26200,ASCENT,0.025,-0.022,1.208,0.362,-0.500,0.218,969.35,372.07,8296,1,34.000393,-81.000314,D248
263,26300,ASCENT,0.023,-0.020,1.212,0.330,-0.500,0.196,969.02,374.91,8295,1,34.000394,-81.000316,C944
264,26400,ASCENT,0.011,-0.027,1.244,0.315,-0.441,0.233,968.69,377.73,8295,1,34.000396,-81.000317,3A8B
265,26500,ASCENT,0.021,-0.019,1.241,0.259,-0.464,0.255,968.37,380.54,8294,1,34.000397,-81.000318,E893
266,26600,ASCENT,0.012,-0.022,1.262,0.206,-0.354,0.238,968.05,383.33,8294,1,34.000399,-81.000319,4E5A
267,26700,ASCENT,0.016,-0.023,1.235,0.117,-0.330,0.300,967.72,386.11,8294,1,34.000400,-81.000320,A836
268,26800,ASCENT,0.020,-0.018,1.247,0.062,-0.309,0.354,967.41,388.87,8293,1,34.000402,-81.000322,8F30
269,26900,ASCENT,0.008,-0.015,1.277,-0.021,-0.255,0.361,967.09,391.61,8293,1,34.000403,-81.000323,7D35
270,27000,ASCENT,0.013,-0.019,1.264,-0.017,-0.173,0.319,966.77,394.33,8292,1,34.000405,-81.000324,43B0
271,27100,ASCENT,0.015,-0.014,1.278,-0.115,-0.145,0.423,966.46,397.04,8292,1,34.000406,-81.000325,0B43
272,27200,ASCENT,-0.005,-0.020,1.262,-0.124,-0.148,0.389,966.15,399.73,8292,1,34.000408,-81.000326,A8C7
273,27300,ASCENT,0.007,-0.007,1.299,-0.243,-0.045,0.432,965.84,402.40,8291,1,34.000410,-81.000328,6A59
274,27400,ASCENT,0.006,-0.017,1.296,-0.262,-0.087,0.402,965.53,405.05,8291,1,34.000411,-81.000329,1C9F
275,27500,ASCENT,0.005,-0.010,1.313,-0.295,0.031,0.489,965.23,407.68,8290,1,34.000413,-81.000330,3F1D
276,27600,ASCENT,-0.002,-0.017,1.290,-0.345,0.084,0.493,964.93,410.29,8290,1,34.000414,-81.000331,9757
277,27700,ASCENT,0.005,-0.010,1.325,-0.358,0.099,0.486,964.63,412.88,8290,1,34.000416,-81.000332,9292
278,27800,ASCENT,-0.014,-0.001,1.288,-0.404,0.095,0.468,964.33,415.45,8289,1,34.000417,-81.000334,E38B
279,27900,ASCENT,0.003,-0.014,1.292,-0.452,0.188,0.542,964.04,418.00,8289,1,34.000419,-81.000335,7B98
280,28000,ASCENT,-0.015,-0.004,1.325,-0.538,0.266,0.548,963.75,420.53,8288,1,34.000420,-81.000336,92C8
281,28100,ASCENT,-0.002,0.001,1.316,-0.593,0.267,0.562,963.46,423.03,8288,1,34.000422,-81.000337,78B0
282,28200,ASCENT,-0.020,-0.007,1.314,-0.645,0.345,0.534,963.17,425.51,8288,1,34.000423,-81.000338,E885
283,28300,ASCENT,-0.019,-0.015,1.320,-0.666,0.337,0.573,962.89,427.97,8287,1,34.000425,-81.000340,987C
284,28400,ASCENT,-0.011,0.003,1.333,-0.717,0.417,0.615,962.61,430.41,8287,1,34.000426,-81.000341,5262
285,28500,ASCENT,-0.015,-0.002,1.334,-0.833,0.444,0.631,962.33,432.82,8286,1,34.000428,-81.000342,B982
286,28600,ASCENT,-0.007,0.001,1.350,-0.817,0.504,0.562,962.06,435.21,8286,1,34.000429,-81.000343,7454
287,28700,ASCENT,-0.015,-0.004,1.341,-0.847,0.469,0.577,961.78,437.58,8286,1,34.000431,-81.000344,CC29
288,28800,ASCENT,-0.008,0.007,1.335,-0.928,0.524,0.667,961.51,439.92,8285,1,34.000432,-81.000346,AFE3
289,28900,ASCENT,-0.020,-0.008,1.332,-0.946,0.628,0.600,961.25,442.23,8285,1,34.000433,-81.000347,CD1A
290,29000,ASCENT,-0.021,0.003,1.338,-1.036,0.577,0.668,960.98,444.52,8284,1,34.000435,-81.000348,0453
291,29100,ASCENT,-0.017,-0.002,1.321,-1.053,0.669,0.687,960.72,446.78,8284,1,34.000436,-81.000349,B6A2
292,29200,ASCENT,-0.010,-0.000,1.359,-1.031,0.661,0.729,960.47,449.02,8284,1,34.000438,-81.000350,B6C6
293,29300,ASCENT,-0.018,0.008,1.329,-1.074,0.685,0.739,960.21,451.23,8283,1,34.000439,-81.000352,5D84
294,29400,ASCENT,-0.030,0.005,1.351,-1.157,0.806,0.699,959.96,453.41,8283,1,34.000441,-81.000353,F2B0
295,29500,ASCENT,-0.020,0.010,1.346,-1.215,0.839,0.701,959.71,455.57,8282,1,34.000442,-81.000354,B390
296,29600,ASCENT,-0.012,0.017,1.353,-1.226,0.792,0.694,959.47,457.70,8282,1,34.000444,-81.000355,B778
297,29700,ASCENT,-0.024,0.013,1.328,-1.190,0.848,0.687,959.23,459.80,8282,1,34.000445,-81.000356,4C72
298,29800,ASCENT,-0.010,0.004,1.324,-1.220,0.854,0.709,958.99,461.87,8281,1,34.000447,-81.000358,B48A
299,29900,ASCENT,-0.024,0.021,1.313,-1.305,0.878,0.738,958.75,463.91,8281,1,34.000448,-81.000359,AA55
300,30000,ASCENT,-0.010,0.020,1.350,-1.272,0.923,0.754,958.52,465.92,8280,1,34.000450,-81.000360,058C
301,30100,ASCENT,-0.017,0.016,1.328,-1.301,0.964,0.760,958.30,467.90,8280,1,34.000451,-81.000361,2CDA
302,30200,ASCENT,-0.018,0.012,1.344,-1.337,0.924,0.719,958.07,469.85,8280,1,34.000453,-81.000362,78D6
303,30300,ASCENT,-0.020,0.017,1.293,-1.376,0.961,0.740,957.85,471.77,8279,1,34.000454,-81.000364,9AD1
304,30400,ASCENT,-0.020,0.005,1.332,-1.436,0.963,0.764,957.64,473.66,8279,1,34.000456,-81.000365,C5CF
305,30500,ASCENT,-0.019,0.025,1.325,-1.394,1.063,0.782,957.42,475.52,8278,1,34.000458,-81.000366,1C74
306,30600,ASCENT,-0.020,0.023,1.324,-1.466,1.070,0.833,957.21,477.35,8278,1,34.000459,-81.000367,8F22
307,30700,ASCENT,-0.017,0.016,1.304,-1.444,1.064,0.739,957.01,479.14,8278,1,34.000461,-81.000368,39E2
308,30800,ASCENT,-0.012,0.022,1.318,-1.475,1.101,0.834,956.80,480.90,8277,1,34.000462,-81.000370,B69B
309,30900,ASCENT,-0.016,0.016,1.284,-1.436,1.123,0.767,956.61,482.63,8277,1,34.000464,-81.000371,090C
310,31000,ASCENT,-0.000,0.012,1.307,-1.527,1.104,0.808,956.41,484.32,8276,1,34.000465,-81.000372,2707
311,31100,ASCENT,0.000,0.020,1.281,-1.470,1.119,0.786,956.22,485.98,8276,1,34.000467,-81.000373,0070
312,31200,ASCENT,-0.012,0.012,1.270,-1.512,1.054,0.817,956.04,487.61,8276,1,34.000468,-81.000374,8103
313,31300,ASCENT,0.003,0.009,1.276,-1.521,1.098,0.759,955.85,489.20,8275,1,34.000470,-81.000376,7BE7
314,31400,ASCENT,0.007,0.014,1.269,-1.519,1.094,0.839,955.68,490.76,8275,1,34.000471,-81.000377,EFF8
315,31500,ASCENT,-0.006,0.026,1.258,-1.540,1.084,0.828,955.50,492.28,8274,1,34.000473,-81.000378,9B28
316,31600,ASCENT,0.010,0.018,1.227,-1.462,1.143,0.819,955.33,493.76,8274,1,34.000474,-81.000379,F6CF
317,31700,ASCENT,-0.004,0.026,1.234,-1.494,1.115,0.777,955.17,495.21,8274,1,34.000476,-81.000380,2210
318,31800,ASCENT,0.008,0.020,1.246,-1.475,1.099,0.812,955.00,496.62,8273,1,34.000477,-81.000382,8A5F
319,31900,ASCENT,0.011,0.011,1.221,-1.498,1.109,0.748,954.85,498.00,8273,1,34.000478,-81.000383,6AF0
320,32000,ASCENT,0.010,0.009,1.240,-1.479,1.109,0.837,954.69,499.33,8272,1,34.000480,-81.000384,47BB
321,32100,ASCENT,0.016,0.026,1.223,-1.443,1.080,0.767,954.54,500.63,8272,1,34.000481,-81.000385,4267
322,32200,ASCENT,0.004,0.019,1.240,-1.441,1.010,0.788,954.40,501.89,8272,1,34.000483,-81.000386,5C77
323,32300,ASCENT,0.019,0.024,1.231,-1.428,0.991,0.776,954.26,503.11,8271,1,34.000484,-81.000388,CA7F
324,32400,ASCENT,0.017,0.008,1.216,-1.450,0.998,0.815,954.13,504.30,8271,1,34.000486,-81.000389,212B
325,32500,ASCENT,0.022,0.009,1.188,-1.366,0.996,0.726,953.99,505.44,8270,1,34.000487,-81.000390,AFF9
326,32600,ASCENT,0.022,0.021,1.182,-1.333,1.014,0.773,953.87,506.54,8270,1,34.000489,-81.000391,0F69
327,32700,ASCENT,0.015,0.019,1.192,-1.385,0.936,0.770,953.75,507.61,8270,1,34.000490,-81.000392,0A72
328,32800,ASCENT,0.023,0.013,1.182,-1.377,0.955,0.780,953.63,508.63,8269,1,34.000492,-81.000394,375B
329,32900,ASCENT,0.026,0.011,1.214,-1.255,0.934,0.772,953.52,509.61,8269,1,34.000493,-81.000395,6D72
330,33000,ASCENT,0.019,0.007,1.188,-1.266,0.840,0.726,953.41,510.55,8268,1,34.000495,-81.000396,00EE
331,33100,ASCENT,0.016,0.011,1.202,-1.212,0.882,0.718,953.31,511.45,8268,1,34.000496,-81.000397,567D
332,33200,ASCENT,0.017,0.009,1.183,-1.236,0.795,0.692,953.21,512.30,8268,1,34.000498,-81.000398,AC3A
333,33300,ASCENT,0.022,0.017,1.185,-1.213,0.793,0.722,953.12,513.11,8267,1,34.000499,-81.000400,86E2
334,33400,ASCENT,0.011,0.007,1.159,-1.163,0.778,0.709,953.03,513.88,8267,1,34.000501,-81.000401,6BF9
335,33500,ASCENT,0.027,0.012,1.172,-1.155,0.695,0.697,952.95,514.61,8266,1,34.000503,-81.000402,B63D
336,33600,ASCENT,0.015,0.007,1.179,-1.085,0.744,0.715,952.87,515.29,8266,1,34.000504,-81.000403,25EA
337,33700,ASCENT,0.029,0.012,1.178,-1.084,0.653,0.657,952.80,515.93,8266,1,34.000506,-81.000404,AD69
338,33800,ASCENT,0.022,0.010,1.204,-1.013,0.595,0.616,952.73,516.52,8265,1,34.000507,-81.000406,5C88
339,33900,ASCENT,0.026,0.003,1.158,-0.948,0.624,0.668,952.66,517.07,8265,1,34.000509,-81.000407,E302
340,34000,ASCENT,0.009,0.009,1.167,-0.957,0.554,0.620,952.61,517.57,8264,1,34.000510,-81.000408,9D0B
341,34100,ASCENT,0.012,-0.003,1.191,-0.864,0.501,0.601,952.56,518.03,8264,1,34.000512,-81.000409,C30E
342,34200,ASCENT,0.007,0.003,1.179,-0.861,0.452,0.632,952.51,518.44,8264,1,34.000513,-81.000410,8B3F
343,34300,ASCENT,0.006,-0.005,1.189,-0.780,0.470,0.558,952.47,518.80,8263,1,34.000515,-81.000412,1033
344,34400,ASCENT,0.004,0.003,1.187,-0.743,0.453,0.602,952.43,519.12,8263,1,34.000516,-81.000413,9B5B
345,34500,ASCENT,0.013,-0.012,1.191,-0.702,0.335,0.578,952.40,519.38,8262,1,34.000518,-81.000414,9CAB
346,34600,ASCENT,0.020,0.000,1.198,-0.710,0.309,0.540,952.38,519.60,8262,1,34.000519,-81.000415,5442
347,34700,ASCENT,0.001,0.001,1.223,-0.565,0.319,0.582,952.36,519.78,8262,1,34.000521,-81.000416,30AC
348,34800,ASCENT,0.014,-0.001,1.205,-0.515,0.247,0.504,952.34,519.90,8261,1,34.000522,-81.000418,317A
349,34900,ASCENT,-0.002,-0.005,1.184,-0.487,0.185,0.502,952.33,519.98,8261,1,34.000523,-81.000419,38AC
350,35000,DESCENT,0.013,-0.006,0.832,-0.514,0.128,0.513,952.33,520.00,8260,1,34.000525,-81.000420,E7B2
351,35100,DESCENT,0.005,-0.019,0.846,-0.461,0.092,0.533,952.33,519.99,8260,1,34.000526,-81.000421,92B9
352,35200,DESCENT,0.010,-0.015,0.871,-0.329,0.069,0.488,952.34,519.95,8260,1,34.000528,-81.000422,387B
353,35300,DESCENT,-0.006,-0.008,0.833,-0.269,0.024,0.462,952.34,519.89,8259,1,34.000529,-81.000424,465F
354,35400,DESCENT,0.009,-0.009,0.859,-0.239,-0.066,0.392,952.35,519.80,8259,1,34.000531,-81.000425,AEA5
355,35500,DESCENT,-0.010,-0.015,0.861,-0.193,-0.041,0.383,952.37,519.68,8258,1,34.000532,-81.000426,07DC
356,35600,DESCENT,-0.000,-0.013,0.867,-0.195,-0.133,0.439,952.38,519.55,8258,1,34.000534,-81.000427,B69E
357,35700,DESCENT,-0.011,-0.025,0.896,-0.068,-0.203,0.389,952.40,519.38,8258,1,34.000535,-81.000428,E909
358,35800,DESCENT,-0.008,-0.019,0.875,-0.070,-0.240,0.365,952.42,519.20,8257,1,34.000537,-81.000430,2C69
359,35900,DESCENT,-0.010,-0.016,0.861,-0.025,-0.245,0.385,952.45,518.99,8257,1,34.000538,-81.000431,A40E
360,36000,DESCENT,-0.020,-0.016,0.894,0.009,-0.274,0.305,952.47,518.75,8256,1,34.000540,-81.000432,1D09
361,36100,DESCENT,-0.003,-0.009,0.898,0.147,-0.281,0.327,952.50,518.49,8256,1,34.000541,-81.000433,0008
362,36200,DESCENT,-0.016,-0.008,0.889,0.125,-0.415,0.271,952.53,518.21,8256,1,34.000543,-81.000434,5BFA
363,36300,DESCENT,-0.006,-0.025,0.883,0.225,-0.455,0.294,952.57,517.90,8255,1,34.000544,-81.000436,8B58
364,36400,DESCENT,-0.011,-0.014,0.892,0.297,-0.464,0.262,952.61,517.57,8255,1,34.000546,-81.000437,0C24
365,36500,DESCENT,-0.020,-0.018,0.919,0.320,-0.458,0.204,952.65,517.22,8254,1,34.000548,-81.000438,24B0
366,36600,DESCENT,-0.024,-0.021,0.893,0.338,-0.545,0.263,952.69,516.84,8254,1,34.000549,-81.000439,7737
367,36700,DESCENT,-0.008,-0.022,0.884,0.438,-0.543,0.174,952.74,516.44,8254,1,34.000551,-81.000440,9099
368,36800,DESCENT,-0.020,-0.018,0.886,0.448,-0.642,0.165,952.79,516.02,8253,1,34.000552,-81.000442,B225
369,36900,DESCENT,-0.011,-0.027,0.921,0.558,-0.682,0.129,952.84,515.57,8253,1,34.000554,-81.000443,C235
370,37000,DESCENT,-0.028,-0.019,0.919,0.514,-0.660,0.130,952.89,515.10,8252,1,34.000555,-81.000444,966B
371,37100,DESCENT,-0.019,-0.025,0.905,0.581,-0.676,0.136,952.95,514.61,8252,1,34.000557,-81.000445,B53B
372,37200,DESCENT,-0.018,-0.010,0.911,0.677,-0.712,0.132,953.00,514.09,8252,1,34.000558,-81.000446,686E
373,37300,DESCENT,-0.024,-0.014,0.912,0.667,-0.805,0.082,953.07,513.56,8251,1,34.000560,-81.000448,3D2A
374,37400,DESCENT,-0.019,-0.022,0.875,0.773,-0.798,0.101,953.13,513.00,8251,1,34.000561,-81.000449,27EA
375,37500,DESCENT,-0.022,-0.008,0.891,0.760,-0.880,0.037,953.20,512.42,8250,1,34.000563,-81.000450,F111
376,37600,DESCENT,-0.018,-0.019,0.856,0.813,-0.815,-0.021,953.27,511.82,8250,1,34.000564,-81.000451,55F7
377,37700,DESCENT,-0.026,-0.015,0.878,0.876,-0.924,0.015,953.34,511.19,8250,1,34.000566,-81.000452,ABAD
378,37800,DESCENT,-0.023,-0.021,0.884,0.948,-0.962,-0.045,953.41,510.55,8249,1,34.000567,-81.000454,84F7
379,37900,DESCENT,-0.013,-0.007,0.884,0.940,-0.929,-0.007,953.49,509.88,8249,1,34.000568,-81.000455,E9F7
380,38000,DESCENT,-0.021,-0.019,0.872,1.027,-0.997,-0.100,953.57,509.19,8248,1,34.000570,-81.000456,E268
381,38100,DESCENT,-0.019,-0.019,0.838,1.076,-1.001,-0.087,953.65,508.48,8248,1,34.000571,-81.000457,DCD4
382,38200,DESCENT,-0.021,-0.006,0.834,1.061,-0.996,-0.128,953.73,507.75,8248,1,34.000573,-81.000458,61B7
383,38300,DESCENT,-0.013,-0.013,0.851,1.162,-0.992,-0.106,953.82,507.00,8247,1,34.000574,-81.000460,6DE2
384,38400,DESCENT,-0.009,-0.003,0.848,1.107,-1.029,-0.184,953.90,506.23,8247,1,34.000576,-81.000461,7B3D
385,38500,DESCENT,-0.019,-0.016,0.843,1.159,-1.023,-0.171,953.99,505.44,8246,1,34.000577,-81.000462,441B
386,38600,DESCENT,-0.018,-0.010,0.802,1.177,-1.070,-0.208,954.09,504.63,8246,1,34.000579,-81.000463,21C3
387,38700,DESCENT,-0.016,-0.010,0.825,1.293,-1.094,-0.239,954.18,503.79,8246,1,34.000580,-81.000464,35FD
388,38800,DESCENT,-0.006,-0.008,0.781,1.320,-1.050,-0.233,954.28,502.94,8245,1,34.000582,-81.000466,EAD1
389,38900,DESCENT,0.002,0.002,0.824,1.288,-1.083,-0.231,954.38,502.07,8245,1,34.000583,-81.000467,1FEE
390,39000,DESCENT,0.005,-0.005,0.793,1.348,-1.048,-0.248,954.48,501.18,8244,1,34.000585,-81.000468,7C1B
391,39100,DESCENT,-0.004,0.007,0.783,1.317,-1.125,-0.279,954.59,500.26,8244,1,34.000586,-81.000469,122D
392,39200,DESCENT,-0.010,0.005,0.798,1.321,-1.059,-0.300,954.69,499.33,8244,1,34.000588,-81.000470,DC56
393,39300,DESCENT,-0.006,0.001,0.773,1.364,-1.107,-0.293,954.80,498.38,8243,1,34.000589,-81.000472,D606
394,39400,DESCENT,0.002,0.006,0.784,1.362,-1.057,-0.336,954.91,497.41,8243,1,34.000591,-81.000473,CBC7
395,39500,DESCENT,0.000,-0.003,0.785,1.402,-1.108,-0.308,955.03,496.42,8242,1,34.000593,-81.000474,A049
396,39600,DESCENT,-0.001,0.012,0.753,1.443,-1.093,-0.339,955.14,495.41,8242,1,34.000594,-81.000475,0BD9
397,39700,DESCENT,0.014,0.007,0.747,1.426,-1.040,-0.343,955.26,494.39,8242,1,34.000596,-81.000476,CDC3
398,39800,DESCENT,0.016,0.011,0.780,1.419,-1.084,-0.355,955.38,493.34,8241,1,34.000597,-81.000478,C1B6
399,39900,DESCENT,0.019,0.011,0.764,1.516,-1.049,-0.433,955.50,492.28,8241,1,34.000599,-81.000479,196B
400,40000,DESCENT,0.012,0.008,0.772,1.525,-1.100,-0.451,955.63,491.20,8240,1,34.000600,-81.000480,1C01
401,40100,DESCENT,0.004,0.013,0.783,1.483,-1.086,-0.416,955.75,490.09,8240,1,34.000602,-81.000481,C423
402,40200,DESCENT,0.015,0.015,0.781,1.500,-0.976,-0.452,955.88,488.98,8240,1,34.000603,-81.000482,7852
403,40300,DESCENT,0.024,0.007,0.774,1.507,-1.053,-0.497,956.01,487.84,8239,1,34.000605,-81.000484,BDBE
404,40400,DESCENT,0.015,0.008,0.782,1.523,-0.973,-0.482,956.14,486.69,8239,1,34.000606,-81.000485,D279
405,40500,DESCENT,0.022,0.012,0.771,1.455,-0.997,-0.534,956.28,485.51,8238,1,34.000608,-81.000486,76F8
406,40600,DESCENT,0.018,0.018,0.786,1.450,-0.956,-0.571,956.41,484.32,8238,1,34.000609,-81.000487,2C04
407,40700,DESCENT,0.018,0.022,0.756,1.517,-0.931,-0.543,956.55,483.12,8238,1,34.000611,-81.000488,D2DE
408,40800,DESCENT,0.010,0.008,0.775,1.460,-0.920,-0.584,956.69,481.89,8237,1,34.000612,-81.000490,64A9
409,40900,DESCENT,0.018,0.021,0.755,1.465,-0.834,-0.602,956.83,480.65,8237,1,34.000614,-81.000491,F090
410,41000,DESCENT,0.016,0.018,0.773,1.465,-0.896,-0.577,956.98,479.39,8236,1,34.000615,-81.000492,9E9E
411,41100,DESCENT,0.011,0.025,0.778,1.470,-0.775,-0.575,957.12,478.12,8236,1,34.000616,-81.000493,5956
412,41200,DESCENT,0.014,0.009,0.796,1.468,-0.778,-0.637,957.27,476.83,8236,1,34.000618,-81.000494,FB15
413,41300,DESCENT,0.022,0.024,0.801,1.430,-0.754,-0.651,957.42,475.52,8235,1,34.000619,-81.000496,1229
414,41400,DESCENT,0.011,0.008,0.792,1.382,-0.736,-0.676,957.57,474.20,8235,1,34.000621,-81.000497,0024
